종목_list,2018_유동자산,2019_유동자산,2020_유동자산,2021_유동자산
영원무역,"13,371","15,009","16,846","20,448"
영원무역홀딩스,"16,704","18,634","21,501","26,196"
영진약품,"1,097","1,113",987,897
영풍,"13,751","14,648","15,784","18,467"
영풍제지,821,541,730,855
영화금속,795,755,784,969
영흥,"1,050","1,449","1,214","2,422"
예스코홀딩스,"5,063","6,924","8,785","5,550"
오뚜기,"8,226","6,698","7,799","10,281"
오리엔트바이오,323,237,291,398
오리온,"5,692","5,963","7,975","11,462"
오리온홀딩스,"8,032","7,608","9,425","13,008"
웰바이오텍,716,724,299,"1,218"
용평리조트,"1,040","1,088","1,671","1,009"
팜젠사이언스,810,506,749,774
우리들휴브레인,543,456,345,824
우리은행,"178,437","224,330","158,026","253,697"
우리종금,"2,255","1,705",920,"2,767"
우성,"1,392","2,012","1,784","1,976"
우신시스템,"1,567","1,698","1,836","1,782"
우진,615,756,699,995
우진플라임,"1,196","1,091","1,167","1,266"
웅진,"4,863","25,758","5,540","4,966"
웅진씽크빅,"4,705","22,362","4,466","4,612"
웅진에너지,"1,089",538,127,108
원림,681,776,986,914
윌비스,"2,008","1,658","1,802","1,956"
유나이티드제약,"1,525","1,645","1,809","2,044"
유니드,"4,402","4,308","4,910","6,708"
유니온,"1,108","1,294","1,298","1,338"
유니온머티리얼,667,800,841,872
유니켐,713,885,975,998
유니퀘스트,"1,859","1,913","2,148","2,717"
유성기업,"1,946","2,115","1,985","1,768"
유수홀딩스,"2,393","4,444","3,125","3,088"
유안타증권,"38,577","38,266","47,995","53,883"
와이투솔루션,755,613,769,806
유엔젤,331,290,323,419
유유제약,689,651,645,989
유진투자증권,"15,826","9,188","19,326","18,328"
유한양행,"11,110","11,170","11,955","12,241"
유화증권,438,231,179,307
율촌화학,"2,071","2,084","2,194","2,691"
이건산업,"1,166",998,840,"1,166"
이구산업,"1,346","1,392","1,524","2,109"
이노션,"15,757","15,713","15,796","17,385"
이마트,"22,856","36,499","40,630","51,884"
이수페타시스,"2,688","2,247","2,243","3,103"
이수화학,"4,653","5,574","5,129","6,686"
이스타코,300,242,127,214
이아이디,346,"1,224",999,"1,776"
이엔플러스,380,442,196,487
이연제약,"2,244","1,303","1,178","1,648"
이월드,331,886,584,501
이화산업,457,427,800,547
인디에프,948,835,770,722
인스코비,280,206,260,369
인지컨트롤스,"1,759","1,722","1,724","1,850"
인천도시가스,"1,709","1,705","1,470","1,664"
인터지스,"1,791","1,549","1,794","1,805"
인팩,"1,245","1,279","1,489","1,578"
일동제약,"2,105","2,334","2,332","3,016"
일동홀딩스,549,"2,633","2,914","3,676"
일성건설,"2,121","2,382","1,263","2,124"
일성신약,"2,794","2,724","2,632","2,800"
일신방직,"3,583","3,838","4,547","4,853"
일신석재,294,356,420,395
일양약품,"1,614","1,714","1,625","2,036"
일정실업,407,315,228,187
일진다이아,966,"1,758","1,473","5,259"
일진디스플,640,306,194,302
일진머티리얼즈,"3,575","5,927","5,189","9,594"
일진전기,"2,953","3,041","3,057","3,586"
일진홀딩스,"4,598","5,303","4,913","9,302"
잇츠한불,"3,907","3,911","3,687","3,583"
자화전자,"1,962","1,796","1,978","2,243"
전방,640,407,"2,212","2,807"
제이에스코퍼레이션,"1,243","1,157","3,010","3,596"
제이준코스메틱,"1,371",549,179,267
제일기획,"18,016","17,699","17,423","20,186"
제일약품,"2,734","2,641","2,775","2,847"
제일연마,536,542,518,539
제일파마홀딩스,"3,379","3,136","3,351","3,351"
제주은행,"3,485","3,474","3,120","2,928"
제주항공,"4,782","4,557","3,004","3,906"
조광페인트,"1,032",984,935,"1,089"
조광피혁,824,856,"1,050",846
조비,430,409,376,529
조선내화,"3,695","3,658","4,507","4,156"
조선선재,"1,020","1,079","1,067","1,041"
조일알미늄,"1,551","1,515","1,412","2,115"
조흥,"1,055","1,178","1,415","1,360"
종근당,"3,903","4,711","6,001","6,671"
종근당바이오,783,800,884,"1,043"
종근당홀딩스,"2,887","3,358","3,944","4,369"
주연테크,323,398,414,478
지엠비코리아,"2,088","2,149","2,254","2,592"
