,매출액_totlist,유동자산_totlist,유동부채_totlist,총자산_list,총부채_list
국보,"['716', '891', '1,099', '969', '1,099', '-11.9']","['118', '705', '506', '595']","['281', '753', '534', '612']","['482', '1,154', '908', '1,023']","['348', '868', '600', '705']"
국제약품,"['1,077', '1,111', '1,304', '1,197', '1,304', '-8.2']","['546', '611', '499', '482']","['482', '593', '554', '545']","['1,262', '1,346', '1,456', '1,398']","['575', '736', '751', '712']"
극동유화,"['8,309', '7,956', '6,229', '9,648', '6,229', '54.9']","['1,268', '1,185', '1,113', '1,459']","['689', '807', '825', '1,122']","['2,801', '2,899', '2,927', '3,219']","['1,202', '1,206', '1,199', '1,399']"
금강공업,"['5,679', '5,497', '5,019', '5,705', '5,019', '13.7']","['3,629', '3,886', '3,068', '3,553']","['4,223', '4,442', '3,523', '4,053']","['8,528', '8,340', '7,792', '8,687']","['4,986', '4,881', '4,259', '4,820']"
금비,"['2,014', '2,193', '2,286', '565', '553', '2.2']","['1,056', '991', '927', '935']","['565', '814', '793', '730']","['2,602', '3,340', '3,379', '3,396']","['966', '1,765', '1,760', '1,803']"
금양,"['2,054', '1,727', '1,762', '2,177', '1,762', '23.6']","['1,294', '1,303', '1,264', '1,951']","['1,146', '1,402', '804', '1,278']","['2,048', '2,242', '2,199', '3,148']","['1,253', '1,559', '1,401', '1,974']"
금호건설,"['13,767', '15,977', '18,296', '20,651', '18,296', '12.9']","['6,189', '10,143', '7,816', '9,891']","['6,397', '7,631', '8,314', '8,699']","['11,822', '13,374', '13,772', '17,360']","['8,259', '9,609', '9,870', '10,832']"
금호석유,"['55,849', '49,615', '48,095', '84,618', '48,095', '75.9']","['13,487', '12,614', '17,055', '34,452']","['17,589', '12,756', '12,102', '23,603']","['46,167', '45,380', '50,273', '81,157']","['22,686', '19,085', '18,780', '30,328']"
금호에이치티,"['2,093', '2,511', '2,196', '2,340', '2,196', '6.5']","['1,555', '2,049', '2,049', '1,918']","['867', '1,325', '1,201', '1,047']","['2,384', '3,221', '3,443', '4,588']","['1,135', '1,494', '1,212', '1,080']"
금호전기,"['636', '592', '450', '416', '450', '-7.5']","['613', '355', '457', '652']","['1,112', '492', '594', '630']","['1,703', '731', '678', '839']","['1,356', '562', '635', '655']"
금호타이어,"['25,587', '23,692', '21,707', '26,012', '21,707', '19.8']","['13,458', '10,867', '11,704', '15,669']","['12,209', '9,377', '9,504', '15,005']","['42,214', '39,295', '38,462', '43,422']","['28,797', '26,368', '26,786', '30,606']"
기신정기,"['1,190', '1,247', '1,285', '970', '959', '1.2']","['1,294', '1,378', '1,444', '1,496']","['101', '133', '145', '130']","['2,458', '2,517', '2,596', '2,624']","['121', '144', '155', '142']"
기아,"['541,698', '581,460', '591,681', '698,624', '591,681', '18.1']","['197,118', '215,554', '260,934', '292,055']","['148,347', '172,766', '210,976', '215,626']","['517,866', '553,448', '604,904', '668,500']","['245,431', '263,667', '305,988', '319,374']"
기업은행,"['56,323', '57,520', '56,151', '61,284', '56,151', '9.1']","['148,885', '115,267', '131,886', '198,515']","['19,308', '15,237', '11,266', '12,277']","['2,895,094', '3,181,110', '3,616,162', '3,980,719']","['2,684,153', '2,953,344', '3,364,738', '3,705,381']"
까뮤이앤씨,"['1,163', '2,834', '1,617', '1,637', '1,617', '1.2']","['429', '746', '526', '648']","['624', '528', '497', '670']","['1,422', '1,689', '1,662', '1,951']","['827', '979', '835', '962']"
