,매출액_totlist,유동자산_totlist,유동부채_totlist,총자산_list,총부채_list
한국앤컴퍼니,"['8,480', '8,476', '8,192', '9,633', '8,192', '17.6']","['5,904', '5,244', '5,989', '6,303']","['1,969', '1,351', '2,029', '2,420']","['34,986', '36,071', '37,925', '40,812']","['2,627', '2,285', '2,920', '3,458']"
한국토지신탁,"['2,693', '2,557', '2,374', '2,255', '2,374', '-5.0']","['\xa0', '\xa0', '\xa0', '\xa0']","['\xa0', '\xa0', '\xa0', '\xa0']","['13,759', '14,472', '15,445', '17,214']","['\xa0', '\xa0', '\xa0', '\xa0']"
한국특강,"['3,650', '3,910', '4,153', '6,915', '4,153', '66.5']","['1,387', '1,235', '1,496', '2,014']","['557', '337', '530', '1,131']","['3,417', '3,175', '3,523', '4,587']","['2,470', '2,461', '2,509', '3,167']"
한국프랜지,"['7,937', '9,540', '8,816', '10,039', '8,816', '13.9']","['3,433', '3,703', '3,851', '4,017']","['3,983', '3,600', '3,725', '4,065']","['6,406', '6,523', '6,680', '6,994']","['4,202', '4,241', '4,310', '4,368']"
한국항공우주,"['27,860', '31,102', '28,251', '25,623', '28,251', '-9.3']","['24,095', '26,548', '31,523', '36,810']","['16,678', '22,029', '26,234', '28,001']","['37,559', '43,671', '51,591', '58,552']","['27,030', '31,840', '39,248', '45,578']"
한국화장품,"['1,539', '1,312', '725', '670', '725', '-7.6']","['619', '476', '470', '300']","['375', '378', '404', '235']","['950', '813', '754', '485']","['422', '461', '459', '265']"
한국화장품제조,"['882', '765', '620', '678', '620', '9.4']","['417', '509', '457', '463']","['199', '270', '243', '239']","['718', '842', '777', '765']","['215', '362', '334', '336']"
한농화성,"['2,232', '2,047', '2,083', '2,688', '2,083', '29.1']","['773', '748', '726', '1,041']","['334', '294', '272', '489']","['1,625', '1,634', '1,714', '2,170']","['501', '431', '405', '693']"
한독,"['4,467', '4,730', '5,036', '5,176', '5,036', '2.8']","['2,838', '3,096', '3,282', '3,255']","['2,575', '2,679', '2,277', '2,778']","['6,526', '7,487', '8,189', '8,416']","['3,392', '4,047', '4,371', '4,576']"
한라,"['12,997', '13,049', '15,509', '14,753', '15,509', '-4.9']","['10,295', '6,871', '7,867', '7,943']","['12,716', '9,861', '8,753', '6,541']","['17,938', '15,882', '16,536', '15,214']","['15,281', '13,271', '12,794', '11,048']"
한라홀딩스,"['8,865', '7,984', '7,358', '10,412', '7,358', '41.5']","['3,685', '3,223', '3,721', '4,758']","['2,903', '4,945', '4,721', '5,227']","['17,241', '17,604', '19,615', '22,950']","['8,589', '8,743', '10,746', '12,805']"
한미글로벌,"['2,077', '2,947', '2,326', '2,701', '2,326', '16.1']","['1,539', '1,332', '1,344', '1,375']","['1,000', '482', '791', '1,016']","['2,097', '2,036', '2,187', '2,853']","['1,064', '795', '899', '1,411']"
한미반도체,"['2,171', '1,204', '2,574', '3,732', '2,574', '45.0']","['1,134', '1,295', '2,089', '2,498']","['293', '318', '676', '807']","['2,460', '2,575', '3,270', '4,293']","['305', '378', '699', '825']"
한미사이언스,"['7,080', '8,166', '8,574', '9,502', '8,574', '10.8']","['2,445', '2,171', '2,157', '2,226']","['2,272', '2,282', '2,201', '2,210']","['9,165', '9,108', '9,232', '9,499']","['2,635', '2,651', '2,645', '2,596']"
한미약품,"['10,160', '11,137', '10,759', '12,032', '10,759', '11.8']","['5,641', '6,622', '6,144', '7,040']","['4,350', '4,718', '5,335', '6,489']","['16,912', '19,137', '18,820', '19,367']","['9,020', '10,914', '10,501', '10,085']"
한샘,"['19,285', '16,984', '20,675', '22,312', '20,675', '7.9']","['4,398', '4,787', '5,209', '4,575']","['2,999', '4,073', '4,395', '3,917']","['9,402', '12,026', '12,295', '12,464']","['3,657', '5,893', '6,006', '6,247']"
한섬,"['12,992', '12,598', '11,959', '13,874', '11,959', '16.0']","['6,811', '7,198', '8,197', '8,818']","['2,283', '2,180', '2,309', '2,463']","['12,727', '13,236', '14,385', '15,571']","['2,820', '2,781', '3,125', '3,167']"
한성기업,"['2,869', '2,701', '2,661', '2,515', '2,661', '-5.5']","['1,161', '1,159', '1,030', '1,050']","['1,467', '1,627', '1,312', '1,138']","['2,222', '2,336', '1,958', '1,999']","['1,682', '1,837', '1,453', '1,554']"
한세실업,"['17,127', '16,150', '16,983', '16,720', '16,983', '-1.5']","['8,259', '7,397', '6,589', '7,700']","['5,888', '6,410', '4,808', '6,419']","['11,707', '11,795', '10,211', '12,162']","['6,781', '7,245', '5,997', '7,518']"
한세엠케이,"['3,230', '3,075', '2,202', '2,077', '2,202', '-5.7']","['1,551', '1,362', '1,063', '967']","['561', '761', '631', '777']","['2,056', '1,847', '1,497', '1,291']","['571', '841', '718', '821']"
한세예스24홀딩스,"['25,215', '27,367', '27,979', '27,989', '27,979', '0.0']","['10,753', '9,943', '10,465', '11,225']","['9,036', '9,469', '8,801', '10,266']","['16,783', '17,314', '18,400', '22,413']","['10,606', '11,355', '10,942', '12,919']"
한솔PNS,"['2,484', '2,339', '2,448', '2,629', '2,448', '7.4']","['751', '876', '894', '736']","['507', '598', '603', '534']","['913', '1,034', '1,071', '1,097']","['528', '624', '635', '597']"
한솔로지스틱스,"['4,342', '4,607', '5,096', '7,470', '5,096', '46.6']","['924', '991', '1,208', '1,783']","['583', '907', '1,118', '1,665']","['1,268', '1,668', '1,960', '2,666']","['705', '1,197', '1,413', '1,880']"
한솔제지,"['19,766', '16,791', '15,099', '18,342', '15,099', '21.5']","['6,055', '5,890', '5,670', '6,637']","['7,979', '7,216', '6,183', '7,274']","['17,927', '17,433', '17,404', '18,878']","['12,052', '11,312', '11,056', '12,085']"
한솔케미칼,"['5,819', '5,443', '6,193', '7,687', '6,193', '24.1']","['1,565', '3,067', '3,077', '4,113']","['1,650', '1,943', '1,716', '1,997']","['7,917', '9,392', '9,992', '11,972']","['3,445', '4,186', '3,769', '4,293']"
한솔테크닉스,"['8,419', '9,722', '11,949', '14,906', '11,949', '24.7']","['2,160', '2,113', '3,111', '4,680']","['2,489', '1,986', '2,343', '3,333']","['5,130', '4,953', '5,914', '7,887']","['3,112', '2,335', '3,123', '5,104']"
한솔홀딩스,"['6,020', '3,463', '3,595', '4,136', '3,595', '15.1']","['2,535', '2,104', '1,670', '1,653']","['5,572', '1,784', '926', '884']","['13,474', '6,664', '6,271', '6,537']","['9,154', '2,103', '1,007', '1,044']"
한솔홈데코,"['2,969', '2,639', '2,532', '2,633', '2,532', '4.0']","['843', '754', '787', '982']","['679', '915', '761', '1,018']","['3,081', '2,958', '2,950', '3,147']","['1,464', '1,416', '1,404', '1,548']"
한신공영,"['21,422', '16,233', '15,569', '13,111', '15,569', '-15.8']","['11,680', '9,174', '10,241', '12,772']","['9,350', '7,324', '7,825', '8,600']","['17,784', '16,510', '17,343', '21,199']","['13,324', '11,372', '11,135', '14,422']"
한신기계,"['533', '528', '516', '544', '516', '5.3']","['652', '622', '647', '693']","['78', '106', '95', '109']","['907', '940', '952', '1,011']","['109', '130', '129', '151']"
한양증권,"['196', '178', '283', '276', '283', '-2.4']","['1,469', '1,556', '2,411', '2,705']","['\xa0', '\xa0', '\xa0', '\xa0']","['18,447', '18,222', '19,677', '16,334']","['\xa0', '\xa0', '\xa0', '\xa0']"
한온시스템,"['59,376', '71,542', '68,728', '73,514', '68,728', '7.0']","['28,592', '29,224', '34,647', '35,517']","['18,671', '20,915', '27,184', '28,135']","['53,558', '70,824', '78,074', '82,337']","['32,241', '47,449', '55,680', '57,571']"
한올바이오파마,"['918', '1,085', '886', '1,016', '886', '14.7']","['1,284', '1,343', '1,294', '1,188']","['218', '274', '231', '221']","['1,623', '1,914', '2,201', '1,985']","['454', '510', '389', '350']"
한익스프레스,"['5,659', '5,774', '6,153', '7,763', '6,153', '26.2']","['905', '958', '1,081', '1,386']","['1,245', '1,194', '1,933', '2,447']","['1,996', '2,758', '3,017', '3,748']","['1,326', '2,039', '2,331', '3,013']"
한일홀딩스,"['11,867', '16,518', '15,334', '17,670', '15,334', '15.2']","['11,777', '11,161', '11,278', '10,384']","['6,193', '7,443', '7,326', '6,773']","['32,542', '33,000', '33,201', '32,638']","['15,294', '15,576', '14,967', '13,337']"
한일철강,"['1,686', '1,730', '1,571', '2,486', '1,571', '58.2']","['687', '797', '654', '1,099']","['975', '980', '765', '891']","['3,122', '3,194', '2,951', '3,387']","['1,508', '1,703', '1,463', '1,610']"
한전KPS,"['12,425', '12,470', '13,032', '13,806', '13,032', '5.9']","['6,361', '7,834', '7,600', '8,001']","['2,704', '2,490', '2,556', '2,677']","['12,809', '13,594', '13,499', '14,269']","['2,968', '2,960', '2,982', '3,149']"
한전기술,"['4,337', '4,486', '4,317', '4,331', '4,317', '0.3']","['2,814', '2,576', '2,379', '2,564']","['2,484', '2,235', '1,873', '1,836']","['7,715', '7,352', '7,003', '7,055']","['3,101', '2,430', '2,012', '1,921']"
한전산업,"['2,625', '2,896', '3,293', '3,211', '3,293', '-2.5']","['889', '950', '871', '881']","['450', '496', '537', '526']","['1,485', '1,667', '1,636', '1,633']","['731', '814', '804', '781']"
한진,"['19,508', '20,623', '22,157', '25,041', '22,157', '13.0']","['4,404', '4,176', '5,779', '7,022']","['7,830', '5,162', '7,552', '8,659']","['26,614', '35,484', '37,887', '38,776']","['15,943', '24,945', '25,507', '25,037']"
HJ중공업,"['16,979', '16,288', '16,958', '17,065', '16,958', '0.6']","['17,209', '13,005', '10,675', '9,490']","['21,401', '18,452', '10,346', '9,500']","['27,336', '24,702', '21,939', '23,852']","['34,418', '22,252', '18,739', '19,532']"
한진중공업홀딩스,"['9,460', '8,776', '7,952', '8,880', '7,952', '11.7']","['3,577', '3,535', '3,336', '3,795']","['4,868', '6,253', '5,502', '5,581']","['18,736', '18,607', '18,372', '18,378']","['15,066', '15,002', '14,806', '14,892']"
한진칼,"['13,049', '12,035', '4,088', '3,953', '4,088', '-3.3']","['8,543', '6,667', '11,983', '4,058']","['6,521', '5,994', '8,886', '13,071']","['28,501', '26,937', '34,886', '37,547']","['11,261', '12,730', '18,243', '19,305']"
한창,"['982', '601', '253', '352', '253', '39.4']","['845', '467', '779', '940']","['665', '372', '575', '895']","['1,062', '918', '1,178', '1,343']","['736', '651', '801', '973']"
한창제지,"['2,000', '1,814', '1,715', '1,822', '1,715', '6.3']","['751', '910', '927', '1,221']","['468', '608', '649', '635']","['1,547', '1,720', '1,811', '2,486']","['776', '860', '864', '1,401']"
한화,"['487,402', '504,124', '509,265', '528,361', '509,265', '3.7']","['137,205', '152,427', '149,538', '176,347']","['148,700', '160,027', '156,521', '164,690']","['1,695,486', '1,822,862', '1,911,783', '2,023,664']","['1,525,955', '1,640,222', '1,734,606', '1,813,191']"
한화갤러리아타임월드,"['2,848', '3,307', '1,425', '1,424', '1,425', '-0.0']","['711', '992', '1,234', '615']","['1,680', '2,061', '1,713', '1,857']","['4,840', '4,893', '4,518', '3,485']","['2,381', '2,484', '2,319', '2,251']"
한화생명,"['234,305', '249,785', '262,231', '271,736', '262,231', '3.6']","['26,309', '19,704', '15,583', '25,993']","['\xa0', '\xa0', '\xa0', '13,567']","['1,320,845', '1,418,501', '1,487,748', '1,635,914']","['1,206,548', '1,278,568', '1,356,202', '1,501,718']"
한화손해보험,"['74,238', '80,276', '78,675', '79,926', '78,675', '1.6']","['5,622', '6,394', '3,564', '3,593']","['\xa0', '\xa0', '\xa0', '\xa0']","['167,339', '182,572', '195,183', '202,850']","['153,183', '167,928', '178,117', '188,254']"
한화솔루션,"['90,460', '94,574', '91,950', '107,252', '91,950', '16.6']","['50,125', '53,227', '49,584', '60,740']","['51,325', '58,310', '52,511', '57,879']","['152,315', '156,811', '151,373', '200,076']","['90,044', '98,753', '91,696', '118,063']"
한화에어로스페이스,"['44,532', '52,641', '53,214', '64,151', '53,214', '20.6']","['38,770', '45,636', '51,227', '62,835']","['31,441', '33,290', '39,004', '43,301']","['73,967', '87,084', '94,648', '110,458']","['47,609', '58,531', '64,751', '71,143']"
한화투자증권,"['1,116', '1,194', '1,203', '1,167', '1,203', '-3.0']","['9,731', '7,530', '16,082', '12,584']","['\xa0', '\xa0', '\xa0', '\xa0']","['73,441', '98,783', '118,590', '117,910']","['\xa0', '\xa0', '\xa0', '\xa0']"
해성디에스,"['3,633', '3,814', '4,587', '6,554', '4,587', '42.9']","['1,117', '1,275', '1,740', '2,560']","['649', '885', '1,200', '1,548']","['3,062', '3,266', '3,832', '4,749']","['1,099', '1,180', '1,514', '1,806']"
해태제과식품,"['7,254', '5,393', '5,639', '5,677', '5,639', '0.7']","['1,753', '1,499', '1,247', '1,201']","['2,689', '3,087', '2,056', '2,525']","['7,950', '7,569', '6,212', '6,549']","['5,074', '5,127', '3,575', '3,951']"
핸즈코퍼레이션,"['6,009', '6,177', '5,727', '5,622', '5,727', '-1.8']","['3,025', '3,444', '3,332', '4,038']","['3,232', '3,226', '3,512', '4,995']","['7,053', '8,511', '8,441', '8,950']","['3,847', '5,268', '5,294', '6,329']"
HDC현대EP,"['9,108', '8,351', '6,894', '8,598', '6,894', '24.7']","['3,811', '3,586', '3,409', '3,876']","['2,612', '2,171', '1,558', '1,886']","['6,004', '5,473', '5,249', '5,829']","['3,181', '2,638', '2,322', '2,752']"
현대건설,"['167,309', '172,788', '169,709', '180,655', '169,709', '6.5']","['133,368', '131,720', '133,989', '145,264']","['68,609', '67,709', '64,677', '76,132']","['180,546', '182,270', '179,393', '196,373']","['97,628', '95,120', '91,729', '102,080']"
현대건설기계,"['32,339', '28,521', '23,905', '32,843', '23,905', '37.4']","['22,039', '21,515', '22,650', '24,695']","['9,451', '10,528', '11,565', '14,991']","['31,265', '31,881', '33,559', '35,543']","['15,583', '16,109', '17,683', '20,065']"
현대그린푸드,"['32,517', '31,243', '32,385', '34,861', '32,385', '7.6']","['11,323', '11,197', '11,018', '9,906']","['4,554', '5,272', '5,467', '5,885']","['28,374', '29,666', '30,685', '31,100']","['7,263', '8,502', '8,783', '8,995']"
현대글로비스,"['168,656', '182,701', '165,199', '217,796', '165,199', '31.8']","['44,581', '50,543', '59,501', '69,682']","['28,848', '34,135', '35,477', '39,430']","['86,878', '101,297', '108,987', '121,709']","['44,277', '54,595', '58,323', '63,585']"
HD현대,"['272,567', '266,303', '189,110', '281,587', '189,110', '48.9']","['88,842', '99,352', '80,491', '134,024']","['86,602', '80,223', '63,364', '116,859']","['233,478', '257,155', '265,590', '358,157']","['127,937', '138,308', '154,611', '239,282']"
현대로템,"['24,119', '24,593', '27,853', '28,725', '27,853', '3.1']","['25,732', '27,092', '27,783', '26,798']","['17,295', '22,920', '22,303', '20,907']","['40,022', '40,843', '41,974', '41,072']","['28,942', '32,014', '28,512', '28,389']"
현대리바트,"['13,517', '12,376', '13,846', '14,066', '13,846', '1.6']","['4,426', '3,977', '3,638', '4,306']","['2,122', '2,481', '2,588', '3,205']","['6,789', '7,528', '8,033', '8,636']","['2,315', '2,949', '3,223', '3,746']"
현대모비스,"['351,492', '380,488', '366,265', '417,022', '366,265', '13.9']","['197,205', '215,046', '229,029', '235,524']","['82,422', '89,623', '100,822', '100,770']","['430,711', '466,061', '484,977', '514,825']","['123,677', '141,964', '151,696', '161,251']"
현대미포조선,"['24,030', '29,941', '27,920', '28,872', '27,920', '3.4']","['18,014', '17,448', '18,792', '20,467']","['10,764', '10,016', '11,910', '16,120']","['34,637', '33,806', '35,990', '38,783']","['11,466', '10,267', '12,315', '16,740']"
현대백화점,"['18,622', '21,990', '22,732', '35,724', '22,732', '57.2']","['12,588', '13,653', '19,859', '19,453']","['12,932', '14,434', '22,762', '19,785']","['69,886', '76,231', '87,070', '89,692']","['21,595', '26,438', '36,747', '37,436']"
현대비앤지스틸,"['7,127', '7,333', '6,802', '8,557', '6,802', '25.8']","['3,581', '3,652', '4,057', '5,188']","['1,436', '921', '1,187', '1,861']","['6,056', '6,086', '6,485', '7,688']","['2,236', '2,057', '2,200', '2,710']"
HDC,"['15,478', '16,167', '39,519', '47,796', '39,519', '20.9']","['9,603', '10,724', '58,302', '64,518']","['6,882', '9,344', '33,284', '39,204']","['34,097', '42,090', '96,171', '106,515']","['13,037', '18,577', '52,719', '58,467']"
현대코퍼레이션,"['47,140', '42,634', '28,809', '37,825', '28,809', '31.3']","['8,831', '8,516', '6,593', '11,114']","['7,296', '6,754', '4,613', '8,738']","['10,982', '14,446', '12,191', '17,074']","['7,922', '11,028', '9,046', '13,446']"
HMM,"['52,221', '55,131', '64,133', '137,941', '64,133', '115.1']","['17,476', '14,272', '22,372', '87,680']","['11,056', '16,837', '28,807', '25,247']","['41,214', '71,602', '93,734', '178,761']","['30,818', '60,699', '76,848', '75,178']"
한일현대시멘트,"['3,396', '3,841', '3,343', '3,970', '3,343', '18.8']","['2,541', '2,235', '1,998', '2,042']","['2,430', '2,764', '2,372', '1,563']","['5,489', '5,602', '5,629', '5,968']","['3,725', '3,556', '3,071', '2,726']"
현대약품,"['1,308', '1,347', '1,330', '1,398', '1,330', '5.1']","['694', '707', '805', '849']","['495', '493', '518', '459']","['1,461', '1,464', '1,575', '1,639']","['580', '630', '674', '773']"
현대퓨처넷,"['2,897', '2,929', '396', '1,367', '396', '245.4']","['3,975', '4,125', '4,324', '4,475']","['472', '641', '1,218', '1,684']","['7,805', '8,135', '10,071', '10,340']","['664', '720', '2,126', '1,763']"
현대엘리베이,"['18,772', '18,725', '18,212', '19,734', '18,212', '8.4']","['9,011', '9,860', '11,923', '11,315']","['7,450', '9,346', '9,298', '10,824']","['23,748', '25,477', '26,262', '29,874']","['14,436', '15,996', '16,008', '18,512']"
현대위아,"['78,805', '73,146', '65,922', '75,277', '65,922', '14.2']","['38,908', '35,691', '39,880', '41,565']","['18,628', '18,614', '19,857', '21,263']","['71,074', '67,743', '77,199', '77,495']","['40,705', '36,825', '41,940', '40,542']"
현대일렉트릭,"['19,404', '17,711', '18,113', '18,060', '18,113', '-0.3']","['16,517', '14,842', '14,744', '13,983']","['11,233', '11,238', '12,753', '12,525']","['23,261', '22,565', '22,726', '22,150']","['14,748', '15,563', '15,934', '15,687']"
현대제철,"['207,804', '205,126', '180,234', '228,499', '180,234', '26.8']","['87,690', '95,787', '99,348', '127,758']","['67,025', '64,203', '60,727', '74,668']","['333,049', '343,663', '348,450', '370,423']","['162,818', '171,326', '181,520', '187,819']"
한국조선해양,"['131,610', '151,826', '149,037', '154,934', '149,037', '4.0']","['123,167', '125,460', '130,014', '145,622']","['94,103', '89,419', '95,115', '112,865']","['247,299', '250,554', '252,442', '272,931']","['116,189', '121,291', '128,230', '148,793']"
현대차,"['968,126', '1,057,464', '1,039,976', '1,176,106', '1,039,976', '13.1']","['471,435', '459,047', '510,903', '533,128']","['494,384', '533,141', '594,595', '642,368']","['1,806,558', '1,945,122', '2,093,442', '2,339,464']","['1,067,597', '1,181,465', '1,330,032', '1,513,306']"
현대차증권,"['620', '659', '1,128', '879', '1,128', '-22.0']","['3,479', '4,973', '6,739', '5,555']","['\xa0', '\xa0', '\xa0', '\xa0']","['66,012', '70,307', '91,679', '88,061']","['\xa0', '\xa0', '\xa0', '\xa0']"
현대코퍼레이션홀딩스,"['1,654', '1,839', '1,516', '1,304', '1,516', '-14.0']","['976', '1,111', '864', '806']","['204', '403', '181', '271']","['1,888', '2,414', '2,169', '2,510']","['205', '619', '400', '488']"
현대해상,"['157,466', '168,459', '177,102', '188,422', '177,102', '6.4']","['12,931', '14,439', '11,024', '10,054']","['\xa0', '\xa0', '\xa0', '\xa0']","['440,922', '463,938', '491,941', '528,180']","['399,608', '418,834', '443,894', '478,100']"
현대홈쇼핑,"['10,177', '20,604', '21,264', '22,099', '21,264', '3.9']","['10,132', '9,341', '11,062', '9,753']","['7,679', '5,378', '7,474', '5,443']","['25,627', '25,038', '26,931', '26,003']","['8,782', '7,748', '8,983', '7,180']"
형지엘리트,"['1,546', '1,479', '1,353', '650', '693', '-6.3']","['983', '937', '1,076', '882']","['470', '424', '496', '412']","['1,208', '1,143', '1,304', '1,233']","['574', '538', '702', '617']"
혜인,"['2,167', '2,609', '2,175', '2,064', '2,175', '-5.1']","['1,377', '1,298', '1,235', '1,152']","['1,331', '1,164', '1,023', '802']","['2,284', '2,183', '2,079', '1,947']","['1,367', '1,228', '1,097', '928']"
호전실업,"['3,133', '3,098', '2,925', '3,449', '2,925', '17.9']","['1,912', '1,810', '1,675', '1,944']","['1,440', '1,198', '1,225', '1,328']","['2,875', '2,923', '2,721', '3,027']","['1,610', '1,678', '1,649', '1,826']"
호텔신라,"['47,137', '57,173', '31,881', '37,791', '31,881', '18.5']","['12,722', '17,161', '11,640', '10,872']","['10,027', '14,381', '7,753', '10,118']","['23,037', '35,273', '28,938', '26,565']","['15,387', '26,077', '22,699', '20,795']"
화성산업,"['4,752', '4,514', '4,193', '4,222', '4,193', '0.7']","['4,484', '4,583', '3,945', '6,152']","['1,572', '1,759', '1,364', '2,236']","['6,409', '6,126', '5,805', '8,080']","['2,661', '2,416', '1,860', '3,910']"
화승코퍼레이션,"['15,281', '15,520', '13,133', '13,998', '13,133', '6.6']","['6,466', '6,118', '6,333', '6,236']","['8,671', '8,386', '7,933', '7,850']","['12,118', '12,116', '11,839', '11,552']","['9,933', '9,493', '9,632', '9,578']"
화승엔터프라이즈,"['8,792', '12,016', '11,158', '11,386', '11,158', '2.0']","['3,593', '4,846', '6,330', '6,976']","['4,080', '5,196', '5,605', '6,954']","['7,605', '9,789', '11,550', '13,303']","['4,773', '6,114', '6,175', '7,798']"
화승인더,"['11,119', '14,259', '12,988', '13,655', '12,988', '5.1']","['4,672', '6,366', '7,646', '8,203']","['5,420', '6,845', '7,133', '8,547']","['9,913', '12,707', '14,335', '16,371']","['6,371', '8,173', '8,062', '10,024']"
화신,"['10,758', '11,643', '10,855', '12,366', '10,855', '13.9']","['4,120', '3,702', '4,089', '4,292']","['4,668', '3,831', '4,482', '4,630']","['8,282', '8,084', '8,227', '8,708']","['5,350', '5,087', '5,670', '5,823']"
화인베스틸,"['1,451', '1,348', '986', '1,241', '986', '25.8']","['982', '855', '635', '766']","['1,161', '1,040', '959', '952']","['2,281', '2,108', '1,778', '1,832']","['1,274', '1,187', '1,015', '1,037']"
화천기계,"['1,807', '1,597', '1,368', '1,759', '1,368', '28.6']","['825', '774', '632', '711']","['367', '327', '251', '296']","['1,621', '1,583', '1,465', '1,559']","['378', '337', '263', '301']"
화천기공,"['2,156', '2,065', '1,617', '2,040', '1,617', '26.1']","['1,816', '1,682', '1,382', '1,589']","['592', '459', '464', '650']","['3,856', '3,749', '3,784', '4,254']","['976', '783', '822', '1,171']"
환인제약,"['1,547', '1,592', '1,717', '1,778', '1,717', '3.5']","['1,878', '2,050', '2,144', '2,424']","['237', '247', '267', '309']","['2,877', '3,049', '3,296', '3,532']","['281', '304', '330', '360']"
황금에스티,"['2,448', '2,436', '2,395', '2,710', '2,395', '13.2']","['1,721', '1,795', '2,400', '2,052']","['1,237', '585', '1,216', '714']","['4,062', '3,902', '4,523', '4,316']","['1,379', '1,073', '1,502', '991']"
효성,"['30,025', '31,756', '25,962', '35,389', '25,962', '36.3']","['13,794', '13,120', '16,268', '19,065']","['22,479', '22,384', '10,903', '15,612']","['64,079', '65,271', '44,298', '52,579']","['37,058', '38,168', '19,154', '22,656']"
효성ITX,"['4,021', '3,882', '4,841', '4,759', '4,841', '-1.7']","['625', '599', '557', '658']","['652', '815', '889', '1,068']","['1,214', '1,593', '1,617', '2,414']","['736', '1,076', '1,123', '1,381']"
후성,"['2,749', '2,489', '2,616', '3,813', '2,616', '45.7']","['1,219', '1,311', '1,329', '1,822']","['706', '921', '1,460', '1,620']","['4,415', '5,289', '5,401', '6,163']","['1,960', '2,860', '2,949', '3,329']"
휠라홀딩스,"['29,546', '34,504', '31,288', '37,940', '31,288', '21.3']","['13,379', '15,868', '16,861', '20,411']","['6,723', '8,674', '9,955', '10,514']","['33,043', '37,702', '37,584', '42,889']","['17,978', '19,693', '19,011', '19,824']"
휴니드,"['2,613', '1,947', '2,013', '2,277', '2,013', '13.1']","['1,473', '1,767', '1,724', '1,923']","['1,110', '1,383', '1,194', '1,273']","['2,273', '2,610', '2,479', '2,673']","['1,187', '1,451', '1,280', '1,342']"
휴비스,"['12,625', '10,293', '9,203', '10,826', '9,203', '17.6']","['5,166', '2,885', '3,979', '3,419']","['4,522', '3,422', '2,980', '3,313']","['9,581', '8,772', '8,729', '8,434']","['5,500', '4,810', '3,971', '3,756']"
휴스틸,"['5,888', '5,370', '3,656', '6,165', '3,656', '68.6']","['3,000', '2,650', '2,615', '4,119']","['1,778', '1,462', '1,248', '1,756']","['6,035', '5,791', '6,041', '9,519']","['1,974', '1,825', '1,897', '3,255']"
TKG휴켐스,"['7,629', '6,598', '5,935', '8,612', '5,935', '45.1']","['5,296', '4,268', '4,345', '5,205']","['1,007', '1,680', '908', '1,832']","['8,647', '9,139', '8,666', '9,493']","['1,987', '2,422', '1,794', '2,297']"
흥국화재,"['41,571', '42,682', '44,930', '45,146', '44,930', '0.5']","['1,707', '1,810', '842', '903']","['\xa0', '\xa0', '\xa0', '\xa0']","['119,389', '126,485', '132,112', '137,623']","['112,568', '119,366', '124,874', '130,716']"
흥아해운,"['1,008', '1,022', '889', '817', '889', '-8.1']","['1,084', '938', '591', '553']","['3,125', '2,023', '1,528', '267']","['8,037', '4,310', '2,868', '2,473']","['7,306', '4,000', '3,131', '1,444']"
