,종목_list,2018_매출액,2019_매출액,2020_매출액,2021_매출액,2018_유동자산,2019_유동자산,2020_유동자산,2021_유동자산,2018_유동부채,2019_유동부채,2020_유동부채,2021_유동부채,2018_총자산,2019_총자산,2020_총자산,2021_총자산,2018_총부채,2019_총부채,2020_총부채,2021_총부채,2017_roa,2018_roa,2019_roa,2020_roa,2021_roa,2018_이익잉여금,2019_이익잉여금,2020_이익잉여금,2021_이익잉여금
81,SBS,"9,140","8,177","8,603","10,790","4,935","7,170","6,582","9,127","2,102","3,930","2,414","5,155","9,576","12,478","11,691","14,622","3,892","6,006","5,980","7,406",1.6,0.6,1.9,-4.8,11.0,"4,175","4,309","3,607","5,023"
82,SBS미디어홀딩스,"2,316","1,756","1,654","1,336","3,557","2,246","3,477","2,283",962,541,"1,752",378,"8,802","6,741","7,163","6,311","1,055",736,"1,937",571,0.1,1.7,-13.5,-9.6,9.9,"2,188","1,103",435,938
83,SG세계물산,"3,202","2,461","1,678","1,357","1,996","1,452","1,393","1,245",957,739,683,604,"3,344","2,877","2,672","3,084","1,375",828,710,641,-2.1,2.0,3.1,-3.7,16.3,584,680,574,"1,044"
84,SG글로벌,"1,345",930,851,578,525,487,480,290,461,575,367,131,"1,996","2,041","1,989","1,870",726,740,724,640,0.2,1.6,0.4,-1.1,-2.9,620,623,601,552
85,SH에너지화학,"1,836","1,409",936,"1,398",858,836,724,783,67,75,74,131,"1,224","1,234","1,174","1,196",170,244,273,279,7.9,1.6,-2.5,-5.8,0.5,424,364,298,312
86,SIMPAC,"3,062","4,301","3,659","6,130","3,107","2,892","3,532","5,422","2,285","2,195","2,491","3,314","6,818","6,791","7,373","9,032","2,467","2,380","2,733","3,566",3.2,13.0,1.4,4.8,11.1,"2,741","2,800","3,105","3,978"
87,SJM,"1,553","1,577","1,387","1,457","1,315","1,440","1,472","1,554",277,327,325,369,"2,001","2,204","2,249","2,450",336,454,513,555,2.8,1.8,3.6,1.9,3.2,"1,148","1,198","1,210","1,287"
88,SJM홀딩스,"1,607","1,608","1,416","1,497","1,775","1,868","1,751","1,903",365,402,394,464,"2,895","3,089","3,083","3,329",456,561,604,661,6.8,2.1,3.1,1.6,2.8,"1,233","1,260","1,268","1,303"
89,SK,"1,001,616","978,115","808,188","983,250","371,284","400,154","380,523","491,932","300,078","356,271","372,127","449,749","1,194,570","1,326,114","1,376,679","1,653,809","685,691","804,354","858,080","998,157",4.8,5.4,1.3,-0.1,3.8,"122,173","125,566","124,967","140,656"
90,SKC,"27,678","23,611","24,659","33,961","9,101","9,927","12,473","18,200","10,815","10,432","17,339","17,200","38,331","39,730","54,064","61,801","21,383","22,466","34,913","38,978",3.8,3.8,1.7,1.6,5.9,"13,254","13,500","13,639","15,438"
91,SK가스,"68,592","49,311","44,123","64,945","16,098","17,138","20,405","24,058","15,006","15,704","12,716","14,420","37,556","40,824","44,989","51,215","21,128","24,216","26,002","30,042",3.6,1.4,3.9,6.2,5.2,"12,215","14,567","16,909","19,011"
