name,18_score,19_score,20_score,21_score,Sector,19-18,21-20
마니커,-15.28,-29.43,-61.48,-84.79,도축,-14.15,-23.31
만도,10.07,10.52,2.74,13.03,자동차 신품 부품 제조업,0.45,10.29
쎌마테라퓨틱스,-186.92,-482.3,-269.58,-122.38,기타 사업지원 서비스업,-295.38,147.2
명문제약,1.31,-26.42,-35.49,-9.03,의약품 제조업,-27.73,26.46
모나미,3.3,3.76,1.55,28.03,생활용품 도매업,0.46,26.48
모토닉,17.33,18.51,22.68,20.09,자동차 신품 부품 제조업,1.18,-2.59
무림P&P,20.12,3.91,-0.59,5.64,펄프,-16.21,6.23
무림페이퍼,11.12,-0.19,-4.92,0.63,펄프,-11.31,5.55
무학,-6.16,16.76,13.02,-5.46,알코올음료 제조업,22.92,-18.48
미래산업,-56.03,-23.62,-25.09,24.81,측정,32.41,49.9
미원상사,34.8,43.5,61.07,59.21,기타 화학제품 제조업,8.7,-1.86
미원홀딩스,18.67,22.12,26.23,37.12,기타 금융업,3.45,10.89
미창석유,20.15,27.29,29.08,40.44,석유 정제품 제조업,7.14,11.36
방림,11.95,11.44,13.61,2.32,직물직조 및 직물제품 제조업,-0.51,-11.29
백광산업,26.41,17.95,11.47,15.64,기초 화학물질 제조업,-8.46,4.17
태경비케이,8.81,13.2,12.77,18.75,시멘트,4.39,5.98
백산,22.42,9.05,-15.16,22.72,플라스틱제품 제조업,-13.37,37.88
범양건영,16.27,53.77,26.32,9.41,건물 건설업,37.5,-16.91
벽산,8.65,1.37,3.66,1.36,기타 비금속 광물제품 제조업,-7.28,-2.3
보령제약,18.67,24.87,18.05,21.67,의약품 제조업,6.2,3.62
보해양조,-43.36,-35.83,4.72,-0.63,알코올음료 제조업,7.53,-5.35
부광약품,136.55,-0.43,-5.39,1.07,의약품 제조업,-136.98,6.46
부산산업,11.35,19.57,12.8,-5.89,시멘트,8.22,-18.69
비상교육,7.44,17.2,-14.36,11.07,서적,9.76,25.43
빙그레,23.31,25.94,20.36,-3.98,낙농제품 및 식용빙과류 제조업,2.63,-24.34
사조대림,8.93,33.92,13.16,21.98,수산물 가공 및 저장 처리업,24.99,8.82
사조동아원,11.86,1.9,8.3,3.09,곡물가공품,-9.96,-5.21
SGC에너지,-4.08,1.41,6.38,13.12,전기업,5.49,6.74
삼부토건,-41.12,7.44,-13.99,6.5,토목 건설업,48.56,20.49
삼성SDI,16.26,9.07,12.24,19.38,일차전지 및 축전지 제조업,-7.19,7.14
삼성공조,12.59,11.42,12.66,2.22,자동차 신품 부품 제조업,-1.17,-10.44
삼성물산,14.2,9.69,9.33,12.73,기타 전문 도매업,-4.51,3.4
삼성바이오로직스,13.21,13.56,15.2,20.03,기초 의약물질 및 생물학적 제제 제조업,0.35,4.83
삼성에스디에스,32.44,33.45,21.0,25.27,컴퓨터 프로그래밍,1.01,4.27
삼성엔지니어링,5.58,25.2,19.78,23.33,건축기술,19.62,3.55
삼성전기,30.12,22.82,25.91,34.95,전자부품 제조업,-7.3,9.04
삼성전자,49.26,24.6,27.4,36.16,통신 및 방송 장비 제조업,-24.66,8.76
삼성중공업,-7.95,-29.96,-36.59,-37.72,선박 및 보트 건조업,-22.01,-1.13
삼성출판사,3.14,12.13,68.12,8.64,서적,8.99,-59.48
삼아알미늄,6.86,10.1,7.9,21.01,1차 비철금속 제조업,3.24,13.11
삼양사,11.29,9.52,12.07,8.65,기타 식품 제조업,-1.77,-3.42
삼양식품,31.22,47.75,46.54,31.01,기타 식품 제조업,16.53,-15.53
삼양통상,33.46,48.5,48.78,31.69,가죽,15.04,-17.09
삼양홀딩스,12.47,8.03,14.55,23.78,기타 금융업,-4.44,9.23
삼영무역,31.67,27.75,26.2,31.41,기타 전문 도매업,-3.92,5.21
삼영전자,22.43,23.55,22.46,22.28,전자부품 제조업,1.12,-0.18
삼영화학,-22.44,-4.59,5.11,12.13,플라스틱제품 제조업,17.85,7.02
삼익악기,8.63,8.49,6.38,14.45,악기 제조업,-0.14,8.07
삼일제약,-18.66,2.95,3.33,-7.82,의약품 제조업,21.61,-11.15
삼천리,4.2,5.08,4.12,7.77,연료용 가스 제조 및 배관공급업,0.88,3.65
삼호개발,28.74,28.14,23.76,19.33,기반조성 및 시설물 축조관련 전문공사업,-0.6,-4.43
