종목_list,2018_총자산,2019_총자산,2020_총자산,2021_총자산
세아홀딩스,"54,539","54,567","50,849","55,378"
세우글로벌,434,455,471,496
세원이앤씨,"3,295","3,587","3,247","2,927"
세원정공,"6,195","6,128","6,222","6,343"
세이브존I&C,"5,747","5,793","5,594","5,643"
세종공업,"8,710","9,960","11,588","11,801"
세진중공업,"3,683","4,086","4,481","5,704"
세하,"1,788","1,878","1,895","1,953"
다이나믹디자인,"1,721","1,610","1,503","1,160"
송원산업,"8,725","8,943","8,911","11,156"
수산중공업,"2,049","1,832","2,364","2,361"
한국수출포장,"2,988","3,081","3,091","3,318"
스카이라이프,"8,160","8,483","9,195","12,756"
신대양제지,"7,468","7,686","8,091","8,460"
신도리코,"9,502","9,475","9,162","10,226"
신라교역,"5,810","6,199","6,291","6,805"
신성이엔지,"4,131","4,166","4,234","4,767"
신성통상,"6,919","8,583","8,985","10,256"
신세계,"111,013","130,185","127,691","136,445"
신세계 I&C,"3,058","2,898","2,837","3,541"
신세계건설,"7,571","7,777","7,656","8,290"
신세계인터내셔날,"9,825","11,289","11,475","11,591"
신세계푸드,"6,250","7,333","8,872","8,795"
신송홀딩스,"2,053","1,999","1,678","2,482"
신영와코루,"3,452","3,483","3,734","3,887"
신영증권,"99,442","96,293","98,208","113,338"
신원,"4,123","4,034","4,058","5,036"
신일전자,"1,023","1,001","1,106","1,221"
신풍제약,"3,810","3,801","4,872","3,926"
신풍제지,"1,673","1,856","1,078",939
신한,"1,522","1,707","1,128","1,141"
신한지주,"4,596,005","5,524,196","6,052,341","6,481,522"
SHD,646,653,642,710
신흥,"1,327","1,389","1,462","1,386"
쌍방울,"3,802","3,404","3,505","3,956"
쌍용C&E,"34,293","33,680","33,268","35,648"
쌍용차,"22,056","20,192","17,686","18,630"
써니전자,546,615,654,772
씨아이테크,430,587,751,795
씨에스윈드,"6,064","7,356","8,807","17,739"
아남전자,"1,395","1,465","1,928","2,720"
아모레G,"73,874","82,814","77,887","80,381"
아모레퍼시픽,"53,711","59,890","57,019","61,167"
메타랩스,"1,071",983,770,850
아세아,"28,403","28,844","28,875","31,153"
아세아시멘트,"19,287","19,308","19,014","20,373"
아세아제지,"8,124","8,482","8,823","9,696"
아시아나항공,"81,911","135,034","138,515","130,827"
아이마켓코리아,"10,783","10,969","11,108","11,202"
아이에스동서,"21,827","28,838","36,215","35,098"
오렌지라이프,"306,687","314,554","327,441","326,975"
HDC랩스,"2,900","2,372","2,180","4,114"
우리금융캐피탈,"62,014","74,732","88,801","82,420"
인바이오젠,243,909,969,"2,745"
알루코,"7,443","7,726","7,014","7,802"
알보젠코리아,"3,159","3,307","3,065","2,769"
폴루스바이오팜,"1,643","1,509","1,482","1,478"
애경케미칼,"4,985","4,928","5,322","12,450"
에넥스,"1,554","1,320","1,129","1,329"
에스엘,"17,304","22,736","23,390","25,675"
에스원,"16,829","17,950","19,067","19,730"
에쓰씨엔지니어링,"3,670","3,739",686,"1,164"
에이리츠,862,921,431,941
에이블씨엔씨,"3,881","4,337","2,548","2,084"
에이엔피,"1,414","1,323","1,039",820
에이프로젠제약,"2,171","3,653","6,153","6,146"
엔씨소프트,"29,413","33,464","40,812","45,819"
엔에스쇼핑,"8,140","9,208","11,512","11,338"
엔케이,"2,055","1,469","1,402","1,307"
플레이그램,452,427,690,"1,295"
영보화학,"1,761","1,808","1,747","1,799"
영원무역,"26,389","31,045","30,383","35,476"
영원무역홀딩스,"32,622","37,894","37,325","43,256"
영진약품,"1,961","2,004","1,881","1,941"
영풍,"47,216","48,327","50,009","55,210"
영풍제지,"1,390","1,395","2,021","2,096"
영화금속,"2,084","2,019","1,976","2,116"
영흥,"2,930","3,109","3,377","5,190"
예스코홀딩스,"14,646","15,443","15,641","14,230"
오뚜기,"20,635","21,521","23,393","26,058"
오리엔트바이오,841,759,715,821
오리온,"23,514","24,523","26,654","31,204"
오리온홀딩스,"43,421","43,663","44,976","49,618"
웰바이오텍,"1,112","1,198",709,"1,368"
용평리조트,"8,128","8,499","9,119","8,415"
팜젠사이언스,982,"1,000","1,355","2,203"
우리들휴브레인,614,698,"1,383","1,763"
우리은행,"2,918,591","3,106,827","3,162,955","3,298,016"
우리종금,"26,827","33,990","43,325","51,597"
우성,"2,822","3,359","3,135","3,446"
우신시스템,"2,972","3,167","3,245","3,096"
우진,"2,110","1,999","2,402","2,298"
우진플라임,"2,877","2,678","2,676","2,764"
웅진,"7,599","29,016","10,870","10,660"
웅진씽크빅,"6,533","24,536","6,661","7,716"
웅진에너지,"3,374","2,367","1,352","1,298"
원림,"1,500","1,631","1,773","1,703"
윌비스,"3,048","2,810","2,848","2,941"
유나이티드제약,"3,020","3,312","3,534","3,800"
유니드,"11,119","10,763","11,208","13,477"
유니온,"3,066","3,252","3,544","3,662"
유니온머티리얼,"1,443","1,749","1,845","1,867"
유니켐,"1,186","1,697","2,858","3,359"
유니퀘스트,"3,241","3,497","3,800","4,903"
유성기업,"3,756","3,964","4,113","4,100"
유수홀딩스,"5,411","5,220","4,982","5,017"
유안타증권,"118,618","123,423","149,482","147,149"
와이투솔루션,"1,942","1,948","1,132","1,185"
유엔젤,512,462,486,617
유유제약,"1,352","1,377","1,549","1,930"
유진투자증권,"72,503","77,384","100,769","91,755"
유한양행,"21,738","21,172","23,935","24,638"
유화증권,"6,247","6,209","7,196","7,347"
율촌화학,"6,142","6,065","6,133","6,667"
이건산업,"4,342","4,226","3,832","4,193"
이구산업,"2,607","2,633","2,717","3,239"
이노션,"17,409","20,755","20,440","22,016"
이마트,"167,539","210,948","223,404","312,421"
이수페타시스,"5,056","4,167","3,894","4,497"
이수화학,"9,357","10,604","9,691","11,689"
이스타코,803,789,707,821
이아이디,800,"2,053","2,259","5,193"
이엔플러스,913,"1,173",906,"1,028"
이연제약,"3,032","2,735","3,176","4,780"
이월드,"2,636","4,818","4,479","4,332"
이화산업,"2,875","2,827","2,834","2,748"
인디에프,"1,381","1,494","1,386","1,253"
인스코비,574,509,762,"1,094"
인지컨트롤스,"4,554","5,079","5,113","5,434"
인천도시가스,"3,478","3,653","3,402","3,606"
인터지스,"4,701","4,200","3,860","3,886"
인팩,"2,844","2,943","3,198","3,540"
일동제약,"5,647","6,127","6,053","7,090"
일동홀딩스,"2,655","8,097","8,110","9,208"
일성건설,"3,087","3,509","2,985","3,793"
일성신약,"3,473","3,695","3,712","3,714"
일신방직,"9,373","9,536","9,642","10,440"
일신석재,802,873,940,919
일양약품,"4,323","4,375","4,391","4,943"
일정실업,683,605,468,413
일진다이아,"1,599","2,498","2,477","6,418"
일진디스플,"1,583","1,262","1,139","1,175"
일진머티리얼즈,"6,922","10,369","10,810","17,536"
일진전기,"7,786","7,809","7,904","8,379"
일진홀딩스,"11,166","11,886","11,585","16,116"
