종목_list,2018_유동부채,2019_유동부채,2020_유동부채,2021_유동부채
제주항공,"4,032","5,567","4,589","4,883"
조광페인트,936,941,966,915
조광피혁,105,107,124,125
조비,345,316,245,381
조선내화,"2,866","2,804","4,052","4,482"
조선선재,114,91,78,113
조일알미늄,"1,359","1,359","1,350","1,602"
조흥,556,759,"1,074","1,189"
종근당,"2,045","2,771","3,206","3,202"
종근당바이오,236,450,461,443
종근당홀딩스,"1,433","2,395","2,804","3,177"
주연테크,103,114,124,84
지엠비코리아,"1,646","1,730","1,836","2,224"
지역난방공사,"9,591","9,150","9,209","15,147"
지코,200,383,487,102
지투알,"4,915","3,538","3,772","3,943"
진도,547,434,302,346
진양산업,126,106,202,204
진양폴리,130,73,82,98
진양홀딩스,"1,023",932,"1,014","1,145"
진양화학,76,81,80,51
진에어,"2,337","3,064","1,875","2,007"
진원생명과학,188,227,367,345
진흥기업,"2,285","1,486","1,094","1,041"
참엔지니어링,"1,098",850,947,774
천일고속,99,178,88,62
센트럴인사이트,420,345,108,85
체시스,453,358,303,299
카카오,"19,093","21,338","26,276","52,461"
카프로,"1,391","1,449","1,527","2,080"
케이씨,"1,054","1,027","1,273","1,153"
케이씨텍,554,471,565,640
케이탑리츠,596,792,"1,081","1,055"
KTis,605,771,874,"1,039"
엘브이엠씨홀딩스,"2,270","2,803","2,292","2,162"
코리아써키트,872,614,"3,158","3,336"
코리아오토글라스,"1,691","1,851","1,062",949
코리안리, , , , 
코스맥스,"6,504","7,164","7,181","7,877"
코스맥스비티아이,"4,096","4,375","4,243","4,228"
코스모신소재,"1,096",770,"1,487",824
코스모화학,"2,010","1,795","2,640","2,552"
코아스,517,466,447,556
코오롱,"19,318","20,913","22,101","20,468"
코오롱글로벌,"12,579","12,858","15,388","14,282"
코오롱머티리얼,"1,447",490,439,442
코오롱인더,"23,244","22,450","21,544","22,324"
코오롱플라스틱,991,931,697,"1,181"
코웨이,"12,343","15,868","14,173","12,932"
콤텍시스템,330,626,764,"1,573"
쿠쿠홀딩스,901,948,"1,194","1,366"
크라운제과,"1,285",785,"1,058","1,233"
크라운해태홀딩스,"4,458","4,389","3,625","4,194"
키움증권, , , , 
아센디오,690,637,53,216
태경산업,"1,829","1,618","1,466","1,659"
태경케미컬,91,98,91,105
태광산업,"7,685","5,626","3,719","5,933"
태림포장,"2,286","2,141","1,876","2,046"
태양금속,"2,367","2,446","2,627","2,723"
태영건설,"18,865","26,382","19,347","19,641"
태원물산,39,36,44,38
태평양물산,"3,455","3,665","3,681","3,251"
테이팩스,422,178,389,260
텔코웨어,122,146,117,111
토니모리,574,904,900,657
트러스제7호,574,572,560,569
티에이치엔,"1,377","1,478","1,318","1,748"
티웨이홀딩스,"1,770","2,626","2,116","2,641"
시디즈,458,308,407,200
파미셀,33,55,65,249
팜스코,"4,860","6,321","5,909","7,606"
팬오션,"6,705","7,091","6,043","11,494"
퍼스텍,798,"1,285","1,119","1,198"
퍼시스,626,344,344,706
페이퍼코리아,"4,218","3,354","2,914","1,957"
평화산업,"1,397","1,369","1,475","1,410"
평화홀딩스,"2,876","3,485","3,588","3,467"
포스코스틸리온,"1,964","2,519","2,303","2,614"
포스코인터내셔널,"54,211","35,612","33,974","56,693"
풀무원,"5,252","6,212","7,768","8,038"
풍산,"8,398","7,633","7,473","11,088"
풍산홀딩스,"1,016","1,680","1,981",865
KH 필룩스,"1,325","1,398","1,035","1,059"
하나금융지주, , , , 
하나니켈1호, , , , 
하나니켈2호, , , , 
하나투어,"4,136","4,075","1,733","1,725"
하이골드12호,46,70,44,41
하이골드3호,49,82,75,62
하이골드8호,75,69,99,125
하이스틸,580,592,849,688
하이트론,258,268,264,213
하이트진로,"16,685","13,589","14,356","18,368"
하이트진로홀딩스,"21,885","16,587","18,387","23,548"
한국가스공사,"98,712","89,005","72,128","140,217"
한국공항,478,497,843,396
한국금융지주, , , , 
한국내화,311,539,205,666
한국단자,"1,302","1,225","1,634","1,948"
한국석유,"1,088",875,"1,390","1,285"
한국쉘석유,450,420,483,528
한국유리,55,64,121,82
한국자산신탁, , , , 
한국전력,"218,415","242,317","258,812","317,322"
한국전자홀딩스,855,"1,004",956,"1,127"
한국제지,"2,149","2,439","2,692","2,537"
한국종합기술,920,"1,463","1,571","1,637"
한국주강,133,116,145,202
한국주철관,763,686,656,627
한국철강,"1,778","1,288","1,549","1,662"
한국카본,475,667,753,940
한국콜마,"5,173","7,074","6,868","8,886"
한국콜마홀딩스,"2,169","3,494","3,625","3,011"
한국타이어앤테크놀로지,"20,226","21,311","17,810","18,692"
한국앤컴퍼니,"1,969","1,351","2,029","2,420"
한국토지신탁, , , , 
한국특강,557,337,530,"1,131"
한국프랜지,"3,983","3,600","3,725","4,065"
