종목_list,2018_총부채,2019_총부채,2020_총부채,2021_총부채
유진투자증권, , , , 
유한양행,"5,221","4,672","5,470","5,279"
유화증권, , , , 
율촌화학,"2,780","2,645","2,657","3,207"
이건산업,"2,537","2,441","2,107","2,295"
이구산업,"1,559","1,621","1,694","2,012"
이노션,"9,991","12,945","12,600","13,668"
이마트,"78,964","108,880","118,438","188,418"
이수페타시스,"3,279","3,407","3,243","3,242"
이수화학,"5,332","6,843","6,832","7,771"
이스타코,459,300,219,318
이아이디,61,673,786,"2,616"
이엔플러스,528,714,351,304
이연제약,778,522,875,"2,327"
이월드,996,948,852,"1,943"
이화산업,"1,046","1,048","1,089",413
인디에프,718,867,975,873
인스코비,266,250,331,435
인지컨트롤스,"2,576","3,204","3,242","3,468"
인천도시가스,"1,677","1,803","1,485","1,692"
인터지스,"2,468","2,398","1,968","1,817"
인팩,"1,666","1,844","2,053","2,329"
일동제약,"2,878","3,598","3,507","5,484"
일동홀딩스,"1,005","4,859","5,054","7,374"
일성건설,"2,187","2,598","2,082","2,699"
일성신약,229,240,237,255
일신방직,"2,141","2,304","2,346","2,497"
일신석재,291,353,418,396
일양약품,"2,224","2,147","1,942","2,225"
일정실업,254,310,212,228
일진다이아,566,648,592,"1,067"
일진디스플,773,759,855,"1,067"
일진머티리얼즈,"1,638","2,215","2,274","4,043"
일진전기,"4,783","4,771","4,815","5,149"
일진홀딩스,"6,691","6,721","6,390","7,268"
잇츠한불,608,637,398,362
자화전자,752,699,835,"1,392"
전방,"2,390","2,553","2,331","2,393"
제이에스코퍼레이션,342,447,"3,537","3,504"
제이준코스메틱,883,706,281,197
제일기획,"12,793","12,960","12,269","14,148"
제일약품,"2,180","2,315","2,372","2,591"
제일연마,222,185,128,136
제일파마홀딩스,"3,305","3,634","3,881","3,921"
제주은행,"55,079","56,952","60,224","64,283"
제주항공,"6,492","11,424","9,518","10,827"
조광페인트,"1,296","1,398","1,476","1,725"
조광피혁,133,208,283,639
조비,458,437,367,505
조선내화,"3,369","3,657","5,136","5,607"
조선선재,124,106,90,131
조일알미늄,"1,693","1,758","1,630","1,811"
조흥,698,886,"1,151","1,218"
종근당,"2,806","3,264","3,947","4,809"
종근당바이오,369,749,"1,147","1,370"
종근당홀딩스,"2,007","3,347","4,182","5,277"
주연테크,160,190,199,144
지엠비코리아,"2,441","2,532","2,604","2,738"
지역난방공사,"40,978","43,632","42,694","46,942"
지코,369,545,541,155
지투알,"5,024","3,608","3,850","4,037"
진도,560,450,314,358
진양산업,153,135,273,304
진양폴리,160,168,179,186
진양홀딩스,"1,371","1,413","1,593","1,760"
진양화학,112,108,107,83
진에어,"2,533","5,127","4,586","4,288"
진원생명과학,199,271,381,440
진흥기업,"2,874","2,284","1,641","1,637"
참엔지니어링,"6,853","6,363","6,638","6,135"
천일고속,185,290,291,268
센트럴인사이트,482,440,116,103
체시스,619,591,479,462
카카오,"23,324","29,971","45,262","91,896"
카프로,"1,634","1,799","1,883","2,693"
케이씨,"1,581","1,732","2,144","2,172"
케이씨텍,566,491,595,679
케이탑리츠,"1,383","1,423","1,508","1,614"
KTis,690,"1,436","1,269","1,776"
엘브이엠씨홀딩스,"2,940","3,529","2,890","2,523"
코리아써키트,"1,127",884,"3,554","4,126"
코리아오토글라스,"2,056","2,193","1,370","1,286"
코리안리,"85,132","92,771","100,640","105,899"
코스맥스,"8,197","8,879","9,171","9,465"
코스맥스비티아이,"5,200","5,367","5,493","6,128"
코스모신소재,"1,491","1,137","1,855","1,430"
코스모화학,"3,305","2,858","4,185","3,785"
코아스,551,520,492,603
코오롱,"26,447","28,967","28,491","29,149"
코오롱글로벌,"15,867","17,504","19,836","19,624"
코오롱머티리얼,"1,545",544,506,513
코오롱인더,"33,643","31,668","27,516","30,507"
코오롱플라스틱,"1,436","1,411","1,197","1,485"
코웨이,"12,912","17,778","15,390","18,962"
콤텍시스템,366,666,861,"1,816"
쿠쿠홀딩스,"1,376","1,389","1,642","1,842"
크라운제과,"2,046","1,909","1,744","1,640"
크라운해태홀딩스,"7,928","7,783","6,062","6,264"
키움증권, , , , 
아센디오,719,663,74,229
태경산업,"2,324","2,182","1,957","1,992"
태경케미컬,152,171,165,198
태광산업,"9,977","8,733","6,776","9,515"
태림포장,"2,692","2,454","2,424","2,573"
태양금속,"2,985","3,218","3,428","3,553"
태영건설,"34,763","43,447","31,515","30,256"
태원물산,61,60,67,61
태평양물산,"4,055","4,290","4,987","6,001"
테이팩스,671,443,482,495
텔코웨어,151,163,131,128
토니모리,987,"1,423","1,270","1,068"
트러스제7호,594,595,595,606
티에이치엔,"1,721","2,024","2,128","2,522"
티웨이홀딩스,"2,126","6,252","6,284","7,160"
시디즈,469,350,470,234
파미셀,116,117,126,305
팜스코,"5,733","6,793","6,822","7,937"
팬오션,"14,591","15,546","18,527","28,919"
퍼스텍,"1,212","1,548","1,359","1,422"
퍼시스,636,379,380,780
페이퍼코리아,"5,606","6,148","4,808","4,518"
평화산업,"1,562","1,607","1,776","1,941"
평화홀딩스,"3,562","3,789","4,031","4,170"
포스코스틸리온,"2,355","2,823","2,581","2,640"
포스코인터내셔널,"69,915","59,114","51,672","72,586"
풀무원,"7,713","10,215","11,806","13,796"
풍산,"12,888","11,787","11,056","14,626"
풍산홀딩스,"1,659","2,163","2,474","1,557"
KH 필룩스,"1,441","1,444","1,131","1,121"
하나금융지주,"3,579,002","3,924,823","4,293,468","4,669,459"
하나니켈1호, , , , 
하나니켈2호, , , , 
하나투어,"4,762","7,897","5,779","3,728"
하이골드12호,46,70,44,41
하이골드3호,49,82,75,62
하이골드8호,75,69,99,125
하이스틸,"1,046","1,067","1,136","1,219"
하이트론,303,385,470,267
하이트진로,"22,658","22,377","22,235","25,379"
하이트진로홀딩스,"28,935","28,541","28,446","31,489"
한국가스공사,"311,917","311,653","281,746","345,506"
한국공항,"1,053","1,417","1,528",938
한국금융지주,"591,057","557,333","648,054","746,085"
한국내화,751,688,586,"1,041"
한국단자,"1,696","1,754","2,210","2,830"
한국석유,"1,596","1,541","1,725","1,882"
한국쉘석유,450,432,505,562
한국유리,708,697,698,905
한국자산신탁, , , , 
한국전력,"1,141,563","1,287,081","1,324,753","1,457,970"
한국전자홀딩스,"1,267","1,476","2,047","1,537"
한국제지,"2,508","2,717","3,635","3,718"
한국종합기술,"1,263","1,845","1,946","1,971"
한국주강,152,163,164,221
한국주철관,831,786,731,762
한국철강,"1,918","1,483","1,719","1,865"
한국카본,564,849,978,"1,094"
한국콜마,"13,766","15,524","14,904","12,465"
한국콜마홀딩스,"3,863","4,913","4,309","3,551"
한국타이어앤테크놀로지,"30,061","29,774","32,464","34,988"
한국앤컴퍼니,"2,627","2,285","2,920","3,458"
